Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2020-11-10T00:11:00+00:00,FALSE,,51.944619,0.631301,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T00:11:00+00:00,FALSE,,51.944619,0.631301,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T00:11:00+00:00,FALSE,,51.944619,0.631301,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T01:11:00+00:00,FALSE,,51.562335,0.66228,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Summons / charged by post,,
Person search,2020-11-10T01:11:00+00:00,FALSE,,51.531004,0.431951,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person and Vehicle search,2020-11-10T02:11:00+00:00,FALSE,,51.531004,0.431951,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Person and Vehicle search,2020-11-10T02:11:00+00:00,FALSE,,51.879726,0.931256,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-10T02:11:00+00:00,FALSE,,51.893908,0.91757,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-10T03:11:00+00:00,FALSE,,51.536035,0.718833,Male,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Mixed,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Person search,2020-11-10T05:11:00+00:00,FALSE,,51.533985,0.723844,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2020-11-10T05:11:00+00:00,FALSE,,51.535306,0.721558,Male,25-34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2020-11-10T11:11:00+00:00,TRUE,,,,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-10T12:11:00+00:00,FALSE,,51.733281,0.475254,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person and Vehicle search,2020-11-10T12:11:00+00:00,TRUE,,51.520634,0.421538,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-10T12:11:00+00:00,FALSE,,51.733281,0.475254,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2020-11-10T13:11:00+00:00,FALSE,,51.89684,0.943549,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-10T13:11:00+00:00,FALSE,,51.732761,0.477311,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Khat or Cannabis warning,,
Person search,2020-11-10T14:11:00+00:00,FALSE,,51.574432,0.469816,Female,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T15:11:00+00:00,FALSE,,51.646889,0.081105,Male,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T15:11:00+00:00,TRUE,,51.731744,0.452056,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-10T15:11:00+00:00,FALSE,,51.648588,0.085172,Female,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T15:11:00+00:00,FALSE,,51.646889,0.081105,Male,Oct-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T15:11:00+00:00,FALSE,,51.648588,0.085172,Female,,Asian/Asian British - Chinese,Asian,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T16:11:00+00:00,FALSE,,51.646889,0.081105,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T16:11:00+00:00,FALSE,,51.646889,0.081105,Male,,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-10T16:11:00+00:00,FALSE,,51.646889,0.081105,Male,,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-10T16:11:00+00:00,FALSE,,51.646889,0.081105,Male,,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-10T16:11:00+00:00,FALSE,,51.646889,0.081105,Male,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T16:11:00+00:00,FALSE,,51.646889,0.081105,Male,,Mixed/Multiple ethnic groups - White and Asian,Asian,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T16:11:00+00:00,FALSE,,51.646813,0.051671,Male,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T16:11:00+00:00,FALSE,,51.646813,0.051671,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T16:11:00+00:00,FALSE,,51.932022,1.254906,Male,Oct-17,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2020-11-10T18:11:00+00:00,FALSE,,51.892548,0.937149,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-10T18:11:00+00:00,FALSE,,51.892548,0.937149,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2020-11-10T18:11:00+00:00,FALSE,,51.771302,0.092636,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T19:11:00+00:00,FALSE,,51.696074,0.105544,Male,Oct-17,White - Any other White background,Mixed,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-10T19:11:00+00:00,FALSE,,51.884246,0.93466,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T19:11:00+00:00,FALSE,,51.696074,0.105544,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-10T20:11:00+00:00,FALSE,,51.885334,0.933205,Female,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2020-11-10T20:11:00+00:00,FALSE,,51.721942,0.459315,Male,,Mixed/Multiple ethnic groups - White and Black Caribbean,White,Firearms Act 1968 (section 47),,A no further action disposal,,
Person search,2020-11-10T21:11:00+00:00,FALSE,,51.534131,0.72877,Male,over 34,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T21:11:00+00:00,FALSE,,51.55084,0.693418,Male,Oct-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Mixed,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-10T21:11:00+00:00,FALSE,,51.550103,0.694182,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Summons / charged by post,,
Vehicle search,2020-11-10T21:11:00+00:00,FALSE,,51.544444,0.69115,,,,,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2020-11-10T22:11:00+00:00,FALSE,,,,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-10T22:11:00+00:00,FALSE,,51.544444,0.69115,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2020-11-10T23:11:00+00:00,FALSE,,51.600829,-0.013881,Male,25-34,Other ethnic group - Any other ethnic group,White,Firearms Act 1968 (section 47),,A no further action disposal,,
Person search,2020-11-10T23:11:00+00:00,FALSE,,51.720993,0.453124,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T23:11:00+00:00,FALSE,,51.720993,0.453124,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T23:11:00+00:00,FALSE,,51.720993,0.453124,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-10T23:11:00+00:00,FALSE,,51.936607,1.279568,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-10T23:11:00+00:00,FALSE,,51.590937,0.47396,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,White,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Vehicle search,2020-11-11T00:11:00+00:00,FALSE,,51.590937,0.47396,,,,,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Person search,2020-11-11T00:11:00+00:00,FALSE,,51.64995,0.061556,Male,,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2020-11-11T00:11:00+00:00,FALSE,,51.590937,0.47396,Male,25-34,White - Any other White background,Other,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Person search,2020-11-11T00:11:00+00:00,FALSE,,51.545584,0.671168,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Vehicle search,2020-11-11T00:11:00+00:00,FALSE,,51.544327,0.689585,,,,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-11T00:11:00+00:00,FALSE,,51.544327,0.689585,Male,Oct-17,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-11T00:11:00+00:00,FALSE,,51.544327,0.689585,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-11T00:11:00+00:00,FALSE,,51.646137,0.338873,Male,25-34,Black/African/Caribbean/Black British - Caribbean,Asian,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-11T00:11:00+00:00,FALSE,,51.882543,0.935145,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),,Khat or Cannabis warning,,
Person and Vehicle search,2020-11-11T01:11:00+00:00,FALSE,,51.590937,0.47396,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Person search,2020-11-11T01:11:00+00:00,FALSE,,51.880797,0.933752,Female,,Other ethnic group - Not stated,Mixed,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-11T01:11:00+00:00,FALSE,,51.880797,0.933752,Female,,Other ethnic group - Not stated,Mixed,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-11T01:11:00+00:00,FALSE,,51.590937,0.47396,Male,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Person search,2020-11-11T01:11:00+00:00,FALSE,,51.537024,0.686069,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2020-11-11T02:11:00+00:00,FALSE,,51.49019,0.316145,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Vehicle search,2020-11-11T02:11:00+00:00,FALSE,,51.535732,0.685935,,,,,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2020-11-11T02:11:00+00:00,FALSE,,51.629043,0.383048,Male,over 34,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person and Vehicle search,2020-11-11T02:11:00+00:00,FALSE,,51.49019,0.316145,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-11T04:11:00+00:00,FALSE,,51.544327,0.689585,Male,Oct-17,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2020-11-11T12:11:00+00:00,FALSE,,51.592707,0.501215,Male,25-34,White - Irish,White,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Person search,2020-11-11T12:11:00+00:00,FALSE,,51.722101,0.480001,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-11T12:11:00+00:00,FALSE,,51.733569,0.472257,Male,,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-11T12:11:00+00:00,FALSE,,51.721317,0.483911,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-11T12:11:00+00:00,FALSE,,51.579,0.477527,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2020-11-11T12:11:00+00:00,FALSE,,51.501414,0.32474,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-11T14:11:00+00:00,FALSE,,51.585708,0.605828,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-11T14:11:00+00:00,FALSE,,51.585708,0.605828,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-11T16:11:00+00:00,FALSE,,51.890107,0.898501,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-11T16:11:00+00:00,FALSE,,51.730904,0.464682,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,Summons / charged by post,,
Person search,2020-11-11T16:11:00+00:00,FALSE,,,,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,Summons / charged by post,,
Person and Vehicle search,2020-11-11T18:11:00+00:00,FALSE,,51.579084,0.552907,Male,25-34,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),,Summons / charged by post,,
Person search,2020-11-11T19:11:00+00:00,FALSE,,51.783723,1.142919,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-11T19:11:00+00:00,FALSE,,51.783361,1.14401,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-11T19:11:00+00:00,FALSE,,51.881725,0.924294,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2020-11-11T20:11:00+00:00,FALSE,,51.584037,0.515103,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2020-11-11T20:11:00+00:00,TRUE,,51.584037,0.515103,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Vehicle search,2020-11-11T22:11:00+00:00,FALSE,,51.575993,0.592556,,,,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-11T23:11:00+00:00,FALSE,,51.479289,0.320316,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-11T23:11:00+00:00,FALSE,,51.656717,0.269482,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-12T01:11:00+00:00,FALSE,,51.553082,0.561246,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-12T03:11:00+00:00,FALSE,,51.877053,0.549662,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-12T04:11:00+00:00,FALSE,,,,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-12T04:11:00+00:00,FALSE,,51.56849,0.455569,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2020-11-12T06:11:00+00:00,FALSE,,51.625409,0.043019,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-12T11:11:00+00:00,FALSE,,,,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2020-11-12T12:11:00+00:00,TRUE,,51.531102,0.578497,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-12T13:11:00+00:00,FALSE,,51.738187,0.466049,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-12T13:11:00+00:00,FALSE,,51.738187,0.466049,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-12T13:11:00+00:00,FALSE,,51.738187,0.466049,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-12T13:11:00+00:00,FALSE,,51.576462,0.489527,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-12T14:11:00+00:00,FALSE,,51.576365,0.444071,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2020-11-12T17:11:00+00:00,FALSE,,51.77266,0.095192,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-12T18:11:00+00:00,FALSE,,51.600272,0.54133,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-12T18:11:00+00:00,FALSE,,51.538996,0.691824,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-12T18:11:00+00:00,FALSE,,51.739277,0.471483,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-12T18:11:00+00:00,FALSE,,51.739277,0.471483,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-12T18:11:00+00:00,FALSE,,51.600272,0.54133,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Vehicle search,2020-11-12T18:11:00+00:00,FALSE,,51.600272,0.54133,,,,,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2020-11-12T19:11:00+00:00,FALSE,,51.804162,1.080622,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2020-11-12T19:11:00+00:00,TRUE,,51.583509,0.391549,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2020-11-12T19:11:00+00:00,FALSE,,51.805691,0.624941,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2020-11-12T20:11:00+00:00,FALSE,,51.752367,0.089964,Female,,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-12T20:11:00+00:00,FALSE,,51.745778,0.083749,Male,25-34,White - Any other White background,Mixed,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Vehicle search,2020-11-12T20:11:00+00:00,FALSE,,51.746953,0.082369,,,,,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2020-11-12T20:11:00+00:00,FALSE,,51.752367,0.089964,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2020-11-12T20:11:00+00:00,TRUE,,51.528332,0.573568,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-12T20:11:00+00:00,FALSE,,51.752367,0.089964,Male,,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2020-11-12T21:11:00+00:00,FALSE,,51.583793,0.392632,Male,,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person and Vehicle search,2020-11-12T21:11:00+00:00,TRUE,,51.511394,0.554409,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-12T21:11:00+00:00,FALSE,,51.583793,0.392632,Male,Oct-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2020-11-12T21:11:00+00:00,FALSE,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-12T22:11:00+00:00,FALSE,,51.886579,0.935946,Male,,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Mixed,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-12T22:11:00+00:00,FALSE,,51.886106,0.835371,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-12T22:11:00+00:00,FALSE,,51.539502,0.71865,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-12T22:11:00+00:00,FALSE,,,,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-13T00:11:00+00:00,FALSE,,51.773496,0.091665,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-13T00:11:00+00:00,TRUE,,51.556245,0.700879,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-13T03:11:00+00:00,FALSE,,51.624693,0.030938,Female,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-13T03:11:00+00:00,FALSE,,51.624362,0.029247,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-13T03:11:00+00:00,FALSE,,51.739354,0.460102,Male,Oct-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-13T04:11:00+00:00,FALSE,,51.798344,1.147446,Female,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-13T07:11:00+00:00,FALSE,,51.909727,0.896464,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-13T09:11:00+00:00,FALSE,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Khat or Cannabis warning,,
Person search,2020-11-13T09:11:00+00:00,FALSE,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2020-11-13T09:11:00+00:00,FALSE,,51.612122,0.271749,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-13T12:11:00+00:00,FALSE,,51.571067,0.512236,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-13T12:11:00+00:00,FALSE,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,Summons / charged by post,,
Vehicle search,2020-11-13T12:11:00+00:00,FALSE,,51.59231,0.460882,,,,,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Person search,2020-11-13T12:11:00+00:00,FALSE,,51.54029,0.730798,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Khat or Cannabis warning,,
Person search,2020-11-13T13:11:00+00:00,FALSE,,51.583274,0.443114,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2020-11-13T14:11:00+00:00,FALSE,,51.649722,0.605913,Male,Oct-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2020-11-13T14:11:00+00:00,FALSE,,51.575589,0.464005,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
